GRUPO DELICTUAL / DELITO,2017_1,2017_2,2017_3,2017_4,2017_5,2017_6,2017_7,2017_8,2017_9,2017_10,2017_11,2017_12,2018_1,2018_2,2018_3,2018_4,2018_5,2018_6,2018_7,2018_8,2018_9,2018_10,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,2020_4,2020_5,2020_6,2020_7,2020_8,2020_9,2020_10,2020_11,2020_12,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12,2022_1,2022_2,2022_3,2022_4,2022_5,2022_6
Homicidios,55,46,53,59,42,50,64,52,55,55,53,54,62,63,57,66,47,45,53,45,50,51,56,59,59,58,61,53,52,59,45,43,53,71,57,81,70,77,48,62,93,91,74,58,66,105,84,61,71,41,65,45,53,47,44,54,56,78,67,74,95,83,81,47,82,68
Hurtos,13714,13432,14773,12989,14220,13732,14350,15672,13877,14758,14818,14832,13922,13033,14492,13745,14177,14258,13852,15732,13387,15460,14692,15452,14692,12978,15175,14489,15112,14307,15562,16623,14320,12371,10348,13137,13239,12306,9716,6066,7490,6645,7114,5773,6053,7115,7616,7416,6060,6203,6777,5433,5610,5739,6830,7258,6871,7528,7767,8903,8304,7818,9438,9268,9721,9280
Lesiones leves,5388,4549,5179,4607,4496,4249,4238,4736,5007,5297,5460,5337,4908,4470,4985,5077,4926,4542,4024,4780,4901,5233,5794,5715,5267,4504,5332,5043,4982,4638,4475,5130,5251,5617,6014,5691,5298,4627,4594,2908,3307,2680,2962,3407,3774,4172,4295,4308,3927,3468,3572,2986,3162,3215,3416,3723,3824,4437,4517,4907,4342,3858,5326,4870,5030,4124
Lesiones menos graves graves o gravísimas,1451,1255,1249,1193,1065,1024,1165,1158,1297,1217,1244,1302,1303,1249,1315,1161,1170,1121,1074,1224,1392,1288,1412,1506,1456,1294,1337,1226,1234,1219,1207,1347,1488,1715,1815,1675,1571,1454,1327,1040,1309,1045,1122,1102,1334,1351,1419,1354,1244,1100,1060,955,1057,1028,1146,1192,1232,1362,1453,1598,1491,1335,1539,1374,1338,1253
Otros robos con fuerza,527,479,655,521,672,590,622,638,571,561,587,538,594,494,550,547,616,587,561,601,488,635,554,629,661,534,617,596,621,538,651,660,614,616,595,685,681,611,501,365,465,385,396,308,377,477,408,405,374,429,458,425,413,401,453,477,515,574,600,593,620,584,762,720,777,644
Robo con violencia o intimidación,5627,5059,5657,4954,5694,5571,5887,6215,6111,6278,6244,6377,5960,5861,6230,6150,6434,5869,6085,6326,5777,6250,6182,6664,6642,6107,6618,6081,6282,6528,6853,7001,6320,5775,6715,7923,8309,8587,8199,6186,5368,5209,5045,3414,3504,4148,4185,4087,3880,3983,4085,3407,3030,3269,3649,3694,3970,4804,4612,5425,5574,5189,6433,6104,6835,6716
Robo de objetos de o desde vehículo,5154,4568,5410,4517,5131,4846,5025,5495,5025,5262,5021,4779,4704,4128,4636,4265,4605,4572,4621,4946,4348,4829,4678,4847,4822,4007,4605,4357,4865,4818,5141,5166,4243,4019,3846,4890,5448,4667,4200,2996,2943,2715,2861,2197,2333,2875,2896,2950,2686,2892,3002,2423,2455,2523,2805,3302,3161,3515,3497,3719,3670,3412,3979,3993,4373,4196
Robo de vehículo motorizado,2469,2348,2702,2356,2575,2392,2591,2685,2416,2500,2285,2278,2267,2140,2431,2057,2222,1909,1837,1974,1760,1881,1889,1919,1975,1859,2034,1755,1893,1961,2087,1915,1757,1738,2032,2170,2166,2114,2197,1613,1527,1518,1549,1284,1326,1768,1785,1620,1687,1636,1872,1743,1597,1636,1973,2094,2037,2404,2467,2529,2839,2524,2975,2971,2836,2695
Robo en lugar habitado,5475,4783,4582,4456,5207,5273,6015,5605,5283,5288,4844,4812,5153,4754,4508,4505,5069,5178,5403,5208,4787,4877,4605,4430,5126,4491,4443,4396,4797,4816,5236,4944,4498,3801,3515,3948,4191,3905,3296,3068,3415,2804,2866,2042,2058,2312,2306,2218,2371,2365,2345,2210,2034,2215,2591,2816,2661,2801,2587,2782,3349,3117,3385,3586,3743,3772
Robo en lugar no habitado,3831,3581,3841,3667,4458,4319,4334,4644,4141,4395,3926,3579,3713,3215,3708,3703,4151,3941,4107,4158,3685,4171,3914,3609,3682,3240,3685,3761,4006,3878,4133,4032,3721,7059,5916,4177,3808,3442,3857,4073,4298,3473,3222,2050,2065,2565,2325,2026,1945,2158,2511,2304,2018,2177,2339,2592,2430,2838,2689,2651,3108,2815,3550,3633,3877,3868
